"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3556-01A","TCGA-AA-3556","tpm",TRUE,"3.928857604014289","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A01Z-01A","TCGA-AA-A01Z","tpm",TRUE,"4.491255958711930","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-4616-01A","TCGA-AZ-4616","tpm",TRUE,"4.494499602655814","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AD-6895-01A","TCGA-AD-6895","tpm",TRUE,"6.826800312315541","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3811-01A","TCGA-AA-3811","tpm",TRUE,"5.038345238737323","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A0XD-01A","TCGA-DM-A0XD","tpm",TRUE,"2.161520334030925","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AD-6901-01A","TCGA-AD-6901","tpm",TRUE,"5.730422682970877","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-F4-6806-01A","TCGA-F4-6806","tpm",TRUE,"5.496881789170195","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3855-01A","TCGA-AA-3855","tpm",TRUE,"4.567111283777321","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6537-01A","TCGA-D5-6537","tpm",TRUE,"4.467876684470607","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-2674-01A","TCGA-A6-2674","tpm",TRUE,"2.221573647395858","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6932-01A","TCGA-D5-6932","tpm",TRUE,"3.524304220743666","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-6166-01A","TCGA-CM-6166","tpm",TRUE,"4.110646674268657","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6294-01A","TCGA-G4-6294","tpm",TRUE,"3.992836411574393","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A00J-01A","TCGA-AA-A00J","tpm",TRUE,"3.802465430477877","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3837-01A","TCGA-AA-3837","tpm",TRUE,"4.048596878856771","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CK-6748-01A","TCGA-CK-6748","tpm",TRUE,"4.981835546876610","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3495-01A","TCGA-AA-3495","tpm",TRUE,"3.332980367668350","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3530-01A","TCGA-AA-3530","tpm",TRUE,"4.346863373817433","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-NH-A50T-01A","TCGA-NH-A50T","tpm",TRUE,"3.272073265291491","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A00D-01A","TCGA-AA-A00D","tpm",TRUE,"3.067861055648045","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6323-01A","TCGA-G4-6323","tpm",TRUE,"2.612589737135766","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-CA-5254-01A","TCGA-CA-5254","tpm",TRUE,"3.640517640475287","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3664-01A","TCGA-AA-3664","tpm",TRUE,"5.409943081463790","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A00R-01A","TCGA-AA-A00R","tpm",TRUE,"3.097876936054569","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3522-01A","TCGA-AA-3522","tpm",TRUE,"4.131716023250832","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A288-01A","TCGA-DM-A288","tpm",TRUE,"3.535337495933558","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-4614-01A","TCGA-AZ-4614","tpm",TRUE,"3.793892884780173","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3488-01A","TCGA-AA-3488","tpm",TRUE,"3.542792127396555","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6535-01A","TCGA-D5-6535","tpm",TRUE,"5.085000035094573","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3489-01A","TCGA-AA-3489","tpm",TRUE,"4.196240954534752","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3554-01A","TCGA-AA-3554","tpm",TRUE,"5.322072573378427","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-NH-A8F7-01A","TCGA-NH-A8F7","tpm",TRUE,"3.729820442318589","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AD-6899-01A","TCGA-AD-6899","tpm",TRUE,"3.985648541266168","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A017-01A","TCGA-AA-A017","tpm",TRUE,"3.211056447231520","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3814-01A","TCGA-AA-3814","tpm",TRUE,"5.815124091741617","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3971-01A","TCGA-AA-3971","tpm",TRUE,"3.392228062523647","4.167970022842355","Low"
