"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"INTERSECT","DLD1_HCT15","API_METHODS_CHEA3_ENRICHR",TRUE,1,"ChEA3;ENRICHR",2,6,4,1,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",TRUE,1,"ChEA3;ENRICHR;CollecTRI",3,6,4.33333333333333,1,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",TRUE,3,"ChEA3;ENRICHR;TRRUST",3,6,16.3333333333333,1,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",TRUE,4,"DoRothEA;TRRUST;CollecTRI",3,6,21.6666666666667,5,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","DOROTHEA_CHEA3_VIPER",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","ENRICHR_TRRUST_COLLECTRI",TRUE,3,"ENRICHR;TRRUST;CollecTRI",3,6,17.6666666666667,5,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",TRUE,3,"DoRothEA;ChEA3;ENRICHR;TRRUST",4,6,17,1,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","WITHOUT_CHEA3",TRUE,9,"DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI",5,6,46.2,5,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
